Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9786056201210164,0.06701030927835051,0.8783783783783784,0.12452107279693486,0.9679721649664201
Random Forest,0.9994499256814484,0.9719626168224299,0.7027027027027027,0.8156862745098039,0.9275498944046339
XGBoost,0.9973900729141065,0.3853211009174312,0.8513513513513513,0.5305263157894737,0.9732237718696479
